,Date,Open,High,Low,Close
0,10-03-16,774.25,776.065002,769.5,772.559998
1,10-04-16,776.030029,778.710022,772.890015,776.429993
2,10-05-16,779.309998,782.070007,775.650024,776.469971
3,10-06-16,779.0,780.47998,775.539978,776.859985
4,10-07-16,779.659973,779.659973,770.75,775.080017
